Key,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW
1,CP012013,PEWA,20130822,600,,TD,23.2N,169.6E,30,1005,0,0,0,0,0,0,0,0,0,0,0,0
2,CP012013,PEWA,20130822,1200,,TD,24.4N,169.3E,30,1006,0,0,0,0,0,0,0,0,0,0,0,0
3,CP012013,PEWA,20130822,1800,,TD,25.2N,169.2E,30,1006,0,0,0,0,0,0,0,0,0,0,0,0
4,CP012013,PEWA,20130823,0,,TD,26.2N,169.5E,30,1006,0,0,0,0,0,0,0,0,0,0,0,0
5,CP012013,PEWA,20130823,600,,TD,26.5N,169.5E,30,1006,0,0,0,0,0,0,0,0,0,0,0,0
6,CP012013,PEWA,20130823,1200,,TD,26.8N,169.3E,30,1006,0,0,0,0,0,0,0,0,0,0,0,0
7,CP012013,PEWA,20130823,1800,,TD,27.1N,169.3E,30,1006,0,0,0,0,0,0,0,0,0,0,0,0
8,CP012013,PEWA,20130824,0,,TD,27.6N,169.3E,30,1006,0,0,0,0,0,0,0,0,0,0,0,0
9,CP012013,PEWA,20130824,600,,TD,27.9N,168.9E,25,1007,0,0,0,0,0,0,0,0,0,0,0,0
10,CP012013,PEWA,20130824,1200,,DB,27.9N,168.8E,20,1007,0,0,0,0,0,0,0,0,0,0,0,0
11,CP012013,PEWA,20130824,1800,,DB,28.2N,167.6E,20,1008,0,0,0,0,0,0,0,0,0,0,0,0
12,CP012013,PEWA,20130825,0,,DB,28.3N,166.9E,20,1009,0,0,0,0,0,0,0,0,0,0,0,0
13,CP012013,PEWA,20130825,600,,DB,28.4N,166.2E,20,1009,0,0,0,0,0,0,0,0,0,0,0,0
14,CP022013,UNALA,20130812,600,,DB,12.0N,139.6W,20,1010,0,0,0,0,0,0,0,0,0,0,0,0
15,CP022013,UNALA,20130812,1200,,DB,12.0N,140.6W,25,1009,0,0,0,0,0,0,0,0,0,0,0,0
16,CP022013,UNALA,20130812,1800,,DB,11.8N,141.8W,25,1009,0,0,0,0,0,0,0,0,0,0,0,0
17,CP022013,UNALA,20130813,0,,DB,11.5N,142.9W,25,1008,0,0,0,0,0,0,0,0,0,0,0,0
18,CP022013,UNALA,20130813,600,,DB,11.0N,143.8W,25,1008,0,0,0,0,0,0,0,0,0,0,0,0
19,CP022013,UNALA,20130813,1200,,DB,11.0N,145.5W,25,1008,0,0,0,0,0,0,0,0,0,0,0,0
